username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,url_foto_perfil,status_relacao,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
sthe.xxp63,Sthe.Xxp63,1.178 1.178 391 391 ̃🪼 Blog pessoal Seguido(a) por escolabeatrizrodrigues escolabeatrizrodrigues 🪼 MA- GO- TO- 🪼 MA- GO- TO-,0,0,1178,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/499707950_17933515497043401_8021481424810838007_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHBDluLeI569PaQGdy0sKcYhnIrU7u_vfGWNOZdLNqrhsxWi2Lj39o_xrWqIttwNZcJos67DljdveMsbfov-jC5&_nc_ohc=xZohe7fB_GkQ7kNvwEufR1w&_nc_gid=caOixmshkpETN3r3oPBxCw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRgO5V4vLhAzFGURfIjxZyzbxDvv-2eCmlJ8uvn7I3Z3w&oe=688D377D&_nc_sid=6ff7c8,Seguir,,False,Pública,0,Iniciante,1178,,GO,Pessoa / Criador,Não,Indefinido
thalesmarquesn1,Thalesmarquesn1,697 697 Thales Marques GO | TO Seguido(a) por camisa63.to camisa63.to,49,49,722,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/454913073_1033708145133610_6222632561987297441_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHNguRUKbRIo642Ji7XReQzOfQrJLYpWTYM_Y2u5PdP5lHXyTtX7JkVSBaEk_n0QPbafHKDIHOTaVz9YuDoSyN_&_nc_ohc=iJfh1LQaH4MQ7kNvwFK46xG&_nc_gid=f5Pnz_mIqdPpH1KlKRQt-w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ-h_iS8hWIdAyzs0pEYZWtLGcXI3bhb5jLDzGLYdonhg&oe=688D5C11&_nc_sid=6ff7c8,Seguir,https://www.threads.com/@thalesmarquesn1?xmt=AQF0agmGSCIY7S9MYRiFsTenXPFj_fUIgkfElX-p8ENhbtw,False,Pública,49,Iniciante,722,,GO,Pessoa / Criador,Não,Indefinido
soyfit.brasil,Soyfit.Brasil,2.089 2.089 1.975 1.975 Soy fit Produto/serviço Marmitaria Saudável 2 unidades Araguaína e Goiânia sua comida pronta em 5min Solução para seus problemas com... mais Soy fit Produto/serviço Marmitaria Saudável 2 unidades Araguaína e Goiânia sua comida pronta em 5min Solução para seus problemas com... mais Marmitaria Saudável 2 unidades Araguaína e Goiânia sua comida pronta em 5min Solução para seus problemas com ... mais mais Clientes Influencers Produção Marmitas Clientes Influencers Produção Marmitas,14,14,2089,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/434008983_727698872883181_4196273422821797463_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41MDAuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFDWZrJL4yiaQrFosVVfOVGf5F26pvtQo_V9z394GsWBQyuyO1CJ-6cqKP1Dw_dSCN8yBonDDgI399dnmT-oroE&_nc_ohc=2vSOJn4i-NkQ7kNvwHL8EHj&_nc_gid=MMIiX0p5VT1AAlrOGmHRUA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSHAnEBaueVS7UfW_ppvpZnvRaZym4UsfDcGce9DGC-iQ&oe=688D3E86&_nc_sid=6ff7c8,Seguir,,False,Pública,14,Iniciante,2089,Goiânia,GO,Pessoa / Criador,Não,Indefinido
